ПАКЕТ,ИМЯ_ФАЙЛА,РАЗМЕР_БАЙТ,SHA256,BITRIX24_FOLDER_ID,BITRIX24_FILE_ID,PUBLIC_GITHUB_PATH,PRIVATE_GITHUB_PATH,PUBLIC_GITHUB_COMMIT,PRIVATE_GITHUB_COMMIT,СТАТУС_СВЕРКИ
RELEASE_CANDIDATE_1_0_0,SHA256SUMS_RELEASE_CANDIDATE_1_0_0_АНТИГРАВИТАЦИИ.txt,584,98a6f43ef544b91f6bdde2718fc9605749d700b05c3e78853ca588ff8cb71835,420306,420316,docs/АНТИГРАВИТАЦИЯ_RELEASE_CANDIDATE_1_0_0/SHA256SUMS_RELEASE_CANDIDATE_1_0_0_АНТИГРАВИТАЦИИ.txt,RELEASE_CANDIDATE_1_0_0/АНТИГРАВИТАЦИЯ_RELEASE_CANDIDATE_1_0_0/SHA256SUMS_RELEASE_CANDIDATE_1_0_0_АНТИГРАВИТАЦИИ.txt,ca5f8c7,022aa87,OK
RELEASE_CANDIDATE_1_0_0,КОНТРОЛЬНЫЙ_ЛИСТ_REVIEW_RELEASE_1_0_0_АНТИГРАВИТАЦИИ.md,6389,ebf661eccdd24854293c95709e8a70562f5c34b292471360903676b3cfe9c84f,420306,420314,docs/АНТИГРАВИТАЦИЯ_RELEASE_CANDIDATE_1_0_0/КОНТРОЛЬНЫЙ_ЛИСТ_REVIEW_RELEASE_1_0_0_АНТИГРАВИТАЦИИ.md,RELEASE_CANDIDATE_1_0_0/АНТИГРАВИТАЦИЯ_RELEASE_CANDIDATE_1_0_0/КОНТРОЛЬНЫЙ_ЛИСТ_REVIEW_RELEASE_1_0_0_АНТИГРАВИТАЦИИ.md,ca5f8c7,022aa87,OK
RELEASE_CANDIDATE_1_0_0,МАНИФЕСТ_RELEASE_CANDIDATE_1_0_0_АНТИГРАВИТАЦИИ.csv,3800,cb2c62bb351a822263146fea37a96cb9aeffc364153c67f397bba9b28a31f505,420306,420308,docs/АНТИГРАВИТАЦИЯ_RELEASE_CANDIDATE_1_0_0/МАНИФЕСТ_RELEASE_CANDIDATE_1_0_0_АНТИГРАВИТАЦИИ.csv,RELEASE_CANDIDATE_1_0_0/АНТИГРАВИТАЦИЯ_RELEASE_CANDIDATE_1_0_0/МАНИФЕСТ_RELEASE_CANDIDATE_1_0_0_АНТИГРАВИТАЦИИ.csv,ca5f8c7,022aa87,OK
RELEASE_CANDIDATE_1_0_0,ОТЧЁТ_STRICT_ПРОВЕРКИ_МАНИФЕСТА_АНТИГРАВИТАЦИИ.json,374,a153822cf2637297d879731b5df297d89c77197b9e90479c59ad4101318424fb,420306,420310,docs/АНТИГРАВИТАЦИЯ_RELEASE_CANDIDATE_1_0_0/ОТЧЁТ_STRICT_ПРОВЕРКИ_МАНИФЕСТА_АНТИГРАВИТАЦИИ.json,RELEASE_CANDIDATE_1_0_0/АНТИГРАВИТАЦИЯ_RELEASE_CANDIDATE_1_0_0/ОТЧЁТ_STRICT_ПРОВЕРКИ_МАНИФЕСТА_АНТИГРАВИТАЦИИ.json,ca5f8c7,022aa87,OK
RELEASE_CANDIDATE_1_0_0,ПРОТОКОЛ_RELEASE_CANDIDATE_1_0_0_АНТИГРАВИТАЦИИ.md,6335,6a8d7096794f892d28828705cec3a60a369841e7f2fa07b541d78bc1addf64e4,420306,420312,docs/АНТИГРАВИТАЦИЯ_RELEASE_CANDIDATE_1_0_0/ПРОТОКОЛ_RELEASE_CANDIDATE_1_0_0_АНТИГРАВИТАЦИИ.md,RELEASE_CANDIDATE_1_0_0/АНТИГРАВИТАЦИЯ_RELEASE_CANDIDATE_1_0_0/ПРОТОКОЛ_RELEASE_CANDIDATE_1_0_0_АНТИГРАВИТАЦИИ.md,ca5f8c7,022aa87,OK
REVIEW_RELEASE_1_0_0,SHA256SUMS_REVIEW_RELEASE_1_0_0_АНТИГРАВИТАЦИИ.txt,1067,76ba573e1461f249b3d6ad8f962e9e22a67d2ac0af8643da514a80240ec746ca,420318,420334,docs/АНТИГРАВИТАЦИЯ_REVIEW_RELEASE_1_0_0/SHA256SUMS_REVIEW_RELEASE_1_0_0_АНТИГРАВИТАЦИИ.txt,RELEASE_REVIEW_1_0_0/АНТИГРАВИТАЦИЯ_REVIEW_RELEASE_1_0_0/SHA256SUMS_REVIEW_RELEASE_1_0_0_АНТИГРАВИТАЦИИ.txt,ca5f8c7,022aa87,OK
REVIEW_RELEASE_1_0_0,ЛИЦЕНЗИОННАЯ_ПРОВЕРКА_RELEASE_1_0_0_АНТИГРАВИТАЦИИ.md,4014,493bd8a2bca2d40da2ac6e41ad1e605345d7160365d1ea08ba8a2d509b1c2b8f,420318,420324,docs/АНТИГРАВИТАЦИЯ_REVIEW_RELEASE_1_0_0/ЛИЦЕНЗИОННАЯ_ПРОВЕРКА_RELEASE_1_0_0_АНТИГРАВИТАЦИИ.md,RELEASE_REVIEW_1_0_0/АНТИГРАВИТАЦИЯ_REVIEW_RELEASE_1_0_0/ЛИЦЕНЗИОННАЯ_ПРОВЕРКА_RELEASE_1_0_0_АНТИГРАВИТАЦИИ.md,ca5f8c7,022aa87,OK
REVIEW_RELEASE_1_0_0,НАУЧНАЯ_ПРОВЕРКА_RELEASE_1_0_0_АНТИГРАВИТАЦИИ.md,5132,7ce269d39681cef44d860724644e01083233780ece9b962c9582e063bf0782da,420318,420320,docs/АНТИГРАВИТАЦИЯ_REVIEW_RELEASE_1_0_0/НАУЧНАЯ_ПРОВЕРКА_RELEASE_1_0_0_АНТИГРАВИТАЦИИ.md,RELEASE_REVIEW_1_0_0/АНТИГРАВИТАЦИЯ_REVIEW_RELEASE_1_0_0/НАУЧНАЯ_ПРОВЕРКА_RELEASE_1_0_0_АНТИГРАВИТАЦИИ.md,ca5f8c7,022aa87,OK
REVIEW_RELEASE_1_0_0,ПАТЕНТНАЯ_ПРОВЕРКА_RELEASE_1_0_0_АНТИГРАВИТАЦИИ.md,3992,1a1436fcf49c5f37fbe1d5fa36779f60e722a8d9786b811f80b68c6fc6664dd6,420318,420326,docs/АНТИГРАВИТАЦИЯ_REVIEW_RELEASE_1_0_0/ПАТЕНТНАЯ_ПРОВЕРКА_RELEASE_1_0_0_АНТИГРАВИТАЦИИ.md,RELEASE_REVIEW_1_0_0/АНТИГРАВИТАЦИЯ_REVIEW_RELEASE_1_0_0/ПАТЕНТНАЯ_ПРОВЕРКА_RELEASE_1_0_0_АНТИГРАВИТАЦИИ.md,ca5f8c7,022aa87,OK
REVIEW_RELEASE_1_0_0,ПРОВЕРКА_БЕЗОПАСНОСТИ_И_ПРИВАТНОСТИ_RELEASE_1_0_0_АНТИГРАВИТАЦИИ.md,3766,0e9918f4f7048728e02edb7867793c85f311b6b266c21fc550803a8b3e6c2039,420318,420328,docs/АНТИГРАВИТАЦИЯ_REVIEW_RELEASE_1_0_0/ПРОВЕРКА_БЕЗОПАСНОСТИ_И_ПРИВАТНОСТИ_RELEASE_1_0_0_АНТИГРАВИТАЦИИ.md,RELEASE_REVIEW_1_0_0/АНТИГРАВИТАЦИЯ_REVIEW_RELEASE_1_0_0/ПРОВЕРКА_БЕЗОПАСНОСТИ_И_ПРИВАТНОСТИ_RELEASE_1_0_0_АНТИГРАВИТАЦИИ.md,ca5f8c7,022aa87,OK
